ID,L,Section,B,H,RECT_TH (in),Type,MIN FX,MAX FX,MIN FY,MAX FY,MIN FZ,MAX FZ,MIN MX,MAX MX,MIN MY,MAX MY,MIN MZ,MAX MZ,AREA TOP,AREA BOTTOM,STIRRUP SPACING,BAR TYPE TOP,BAR COUNT TOP,BAR TYPE BOTTOM,BAR COUNT BOTTOM,EFFICIENCY MIN MY,EFFICIENCY MAX MY
124,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-2.16,1.14,-0.56,0.5,-30.07,30.97,-15.11,13.94,-177.76,155.41,-0.28,1.23,2.356194490192345,2.0,0.169241527606687,8,3,9,2,0.594585222093094,0.608243141378547
125,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-2.09,0.97,-0.75,0.73,-30.19,31.71,-15.67,14.17,-183.93,155.27,-0.23,1.43,2.356194490192345,2.0,0.0194389817085803,8,3,9,2,0.615223109246078,0.607695209843942
126,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-2.11,0.66,-0.73,0.73,-30.96,31.14,-13.43,16.69,-177.7,156.07,-0.22,1.4,2.356194490192345,2.0,0.134197498714807,8,3,9,2,0.594384529511379,0.610826247184543
127,13.0,16 x 32,16.0,32.0,0.0,RC Beam,-2.91,1.5,-0.59,0.58,-31.33,32.81,-9.22,12.82,-165.89,153.31,-0.19,1.2,2.356194490192345,2.0,0.190752511125294,8,3,9,2,0.554881539677224,0.600024168359468
128,14.0,16 x 32,16.0,32.0,0.0,RC Beam,-4.43,3.56,-0.38,0.44,-41.06,31.29,-7.7,17.48,-264.64,194.43,-0.39,0.89,3.0,2.356194490192345,0.103592525087220,9,3,8,3,0.701617869560328,0.650427155297666
129,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-3.96,1.91,-0.03,0.35,-42.44,31.71,-4.94,14.02,-200.47,163.03,-0.67,0.12,2.356194490192345,2.356194490192345,0.0194389817085803,8,3,8,3,0.670580599427488,0.545342221403020
130,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-4.78,3.91,-1.36,1.69,-34.7,26.8,-7.6,27.86,-226.06,150.07,-2.72,1.37,3.0,2.0,1.16805634738728,9,3,9,2,0.599398861442103,0.587357795134495
131,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-5.07,3.41,-1.52,1.08,-25.0,36.24,-27.15,7.13,-231.7,150.55,-2.64,1.17,3.0,2.0,0.764240891004992,9,3,9,2,0.614353340688911,0.589236463367084
132,13.0,16 x 32,16.0,32.0,0.0,RC Beam,-4.27,2.24,-0.3,0.08,-32.64,39.11,-12.92,4.62,-165.84,161.32,-0.62,0.18,2.356194490192345,2.356194490192345,1.16680107108210,8,3,8,3,0.554741789839151,0.539622199329787
133,14.0,16 x 32,16.0,32.0,0.0,RC Beam,-2.48,1.32,-0.07,0.08,-49.29,32.42,-5.59,3.86,-266.93,176.82,-0.09,0.17,3.0,2.356194490192345,0.117862118754499,9,3,8,3,0.707689154782869,0.591516379158223
134,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-4.06,2.56,-1.02,0.9,-39.6,30.61,-23.15,11.01,-245.78,182.69,-1.51,0.91,3.0,2.356194490192345,0.244737344331234,9,3,8,3,0.651615931002636,0.611153304538038
135,14.0,16 x 32,16.0,32.0,0.0,RC Beam,-1.68,1.32,-1.05,0.87,-36.15,31.42,-19.22,8.71,-216.37,188.17,-1.52,0.85,2.53125,2.356194490192345,0.0773045865683990,10,2,8,3,0.675588085213701,0.629450828607770
136,35.0,16 x 32,16.0,32.0,0.0,RC Beam,-5.29,2.44,-0.33,0.35,-30.31,30.79,-35.81,30.09,-215.55,78.92,-0.91,0.51,2.53125,1.5707963267948966,0.206768759661548,10,2,8,2,0.672969630187393,0.388610846965234
137,35.0,16 x 32,16.0,32.0,0.0,RC Beam,-3.7,0.62,-0.2,0.18,-42.22,42.83,-15.78,12.76,-286.78,75.13,-0.45,0.38,3.125,1.325359400733194,1.60830235559236,11,2,6,3,0.731506520482203,0.433925165678992
138,32.0,16 x 32,16.0,32.0,0.0,RC Beam,-4.71,1.1,-0.25,0.08,-41.38,43.39,-21.73,14.23,-259.83,80.32,-0.46,0.23,3.0,1.5707963267948966,1.66820903180504,9,3,8,2,0.689084741098537,0.395450264630795
139,35.0,16 x 32,16.0,32.0,0.0,RC Beam,-3.0,3.54,-0.71,0.4,-28.73,30.02,-33.34,24.61,-223.39,68.44,-1.44,0.92,3.0,1.325359400733194,0.372382082277785,9,3,6,3,0.592549825172012,0.395312978411799
140,32.0,16 x 32,16.0,32.0,0.0,RC Beam,-4.06,0.71,-0.21,0.1,-36.48,39.69,-14.86,14.9,-256.42,70.68,-0.43,0.16,3.0,1.325359400733194,1.24108314159791,9,3,6,3,0.680163060882794,0.408251334221888
141,32.0,16 x 32,16.0,32.0,0.0,RC Beam,-3.83,1.2,-0.82,0.79,-25.81,27.89,-33.46,27.71,-192.59,69.84,-1.09,0.78,2.356194490192345,1.325359400733194,0.878143065972719,8,3,6,3,0.644122472820392,0.403576098697729
142,15.0,Level 3 Main Beam,10.0,20.0,0.0,RC Beam,-0.98,0.56,-0.04,0.06,-24.65,16.72,-19.83,17.04,-132.98,93.74,-0.06,0.11,2.53125,1.5707963267948966,5.64018601136239,10,2,8,2,0.746537084436948,0.822688318815792
143,15.0,Level 3 Main Beam,10.0,20.0,0.0,RC Beam,-0.67,0.57,-0.02,0.07,-19.84,17.3,-17.84,17.43,-111.2,88.43,-0.05,0.14,2.0,1.5707963267948966,5.24155549768665,9,2,8,2,0.778264499594934,0.775977758359815
144,15.0,Level 3 Main Beam,10.0,20.0,0.0,RC Beam,-0.65,0.66,-0.07,0.14,-20.54,19.17,-18.58,18.94,-108.55,91.06,-0.07,0.24,2.0,1.5707963267948966,4.12057434063532,9,2,8,2,0.759717728696314,0.799056142443116
145,15.0,Level 3 Main Beam,10.0,20.0,0.0,RC Beam,-0.69,0.57,-0.12,0.11,-19.21,19.26,-18.6,19.54,-103.84,90.39,-0.07,0.19,2.0,1.5707963267948966,4.07211371287534,9,2,8,2,0.726753467967068,0.793176858285013
146,13.0,Level 3 Main Beam,10.0,20.0,0.0,RC Beam,-0.68,0.25,-0.07,0.06,-19.71,21.4,-14.9,16.69,-109.09,94.46,-0.06,0.11,2.0,1.5707963267948966,3.03990234158781,9,2,8,2,0.763497070690750,0.828891315782745
147,15.0,Level 3 Main Beam,10.0,20.0,0.0,RC Beam,-1.05,0.74,-0.07,0.06,-35.67,31.14,-4.25,5.72,-141.66,84.04,-0.06,0.11,2.53125,1.5707963267948966,0.134197498714807,10,2,8,2,0.795265779676178,0.737558420239803
148,15.0,Level 3 Main Beam,10.0,20.0,0.0,RC Beam,-2.04,1.84,-0.61,0.6,-20.91,17.66,-16.17,20.18,-113.12,84.66,-0.45,0.56,2.0,1.5707963267948966,5.00729955322645,9,2,8,2,0.791702160019595,0.742895816156756
149,15.0,Level 3 Main Beam,10.0,20.0,0.0,RC Beam,-2.02,1.66,-0.64,0.64,-16.44,20.47,-17.54,15.85,-115.64,86.19,-0.5,0.61,2.0,1.5707963267948966,3.46196434342839,9,2,8,2,0.809339089326962,0.756321644159589
150,13.0,Level 3 Main Beam,10.0,20.0,0.0,RC Beam,-1.74,1.25,-0.06,0.06,-30.05,32.34,-4.88,3.42,-124.17,88.16,-0.07,0.11,2.0,1.5707963267948966,0.102692946506522,9,2,8,2,0.869038695276106,0.773608494594609
151,14.0,Level 3 Main Beam,10.0,20.0,0.0,RC Beam,-0.84,0.67,-0.02,0.04,-37.01,26.2,-4.22,4.22,-154.44,80.5,-0.03,0.07,2.53125,1.5707963267948966,1.33793550038088,10,2,8,2,0.867011485339467,0.706490395398669
152,15.0,Level 3 Main Beam,10.0,20.0,0.0,RC Beam,-2.03,1.82,-0.49,0.52,-23.26,16.63,-20.21,18.3,-125.81,83.41,-0.29,0.37,2.0,1.5707963267948966,5.70453458268064,9,2,8,2,0.880516696888837,0.731927002428952
153,14.0,Level 3 Main Beam,10.0,20.0,0.0,RC Beam,-2.13,2.02,-0.46,0.49,-19.96,18.5,-17.59,16.69,-105.81,79.37,-0.28,0.34,2.0,1.5707963267948966,4.49615730324211,9,2,8,2,0.740541067465288,0.696475796460687
154,35.0,Level 3 Main Beam,10.0,20.0,0.0,RC Beam,-1.52,1.22,-0.05,0.03,-22.77,18.12,-21.43,18.92,-141.18,29.16,-0.1,0.06,2.53125,0.6135923151542565,4.72151821799002,10,2,5,2,0.799548510241725,0.596182323146221
155,32.0,Level 3 Main Beam,10.0,20.0,0.0,RC Beam,-0.27,0.46,-0.03,0.02,-35.23,24.29,-12.23,14.54,-166.67,30.73,-0.02,0.04,2.53125,0.6135923151542565,1.93459901646682,10,2,5,2,0.943906716262845,0.628281302821789
156,35.0,Level 3 Main Beam,10.0,20.0,0.0,RC Beam,-1.05,0.38,-0.09,0.12,-23.49,17.48,-18.51,22.91,-140.94,25.51,-0.16,0.2,2.53125,0.6135923151542565,5.12322140217272,10,2,5,2,0.798189311754277,0.521557306703021
157,35.0,Level 3 Main Beam,10.0,20.0,0.0,RC Beam,-0.99,0.33,-0.18,0.14,-21.35,16.76,-20.91,15.96,-131.82,22.98,-0.31,0.24,2.53125,0.6135923151542565,5.61180847911570,10,2,5,2,0.746539769231224,0.469830925442392
158,32.0,Level 3 Main Beam,10.0,20.0,0.0,RC Beam,-0.29,0.76,-0.02,0.02,-31.36,22.21,-14.34,12.21,-147.13,25.62,-0.03,0.02,2.53125,0.6135923151542565,2.70109905943175,10,2,5,2,0.833245306076392,0.523806279801310
159,35.0,Level 3 Main Beam,10.0,20.0,0.0,RC Beam,-1.32,1.15,-0.5,0.45,-20.29,16.57,-16.51,19.37,-124.2,20.93,-0.37,0.35,2.0,0.39269908169872414,5.74782197404823,9,2,4,2,0.872821533081216,0.619682242670452
160,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-3.09,0.8,-0.66,0.63,-33.2,18.88,-21.53,12.03,-207.05,134.34,-1.22,0.31,2.405281875404685,1.803961406553514,4.27986812023194,7,4,7,3,0.678956474169364,0.580133908903181
161,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-2.52,0.94,-0.73,0.68,-26.6,23.02,-12.86,17.79,-144.96,116.54,-1.57,0.31,2.0,1.7671458676442586,2.38613857992959,9,2,6,4,0.567326524946340,0.513264671423936
162,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-2.29,0.99,-1.17,1.15,-26.41,22.9,-13.06,16.26,-144.89,111.8,-2.21,0.33,2.0,1.7671458676442586,2.43139345458424,9,2,6,4,0.567052567601236,0.492388795822860
163,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-3.22,2.37,-1.15,1.26,-24.91,25.14,-15.25,14.41,-135.96,112.5,-2.35,0.35,2.0,1.7671458676442586,1.65787231941047,9,2,6,4,0.532103437718711,0.495471731038209
164,13.0,16 x 32,16.0,32.0,0.0,RC Beam,-2.81,1.02,-0.98,0.97,-25.81,23.6,-11.69,11.28,-112.34,117.47,-1.97,0.31,1.7671458676442586,1.7671458676442586,2.17389449618555,6,4,6,4,0.494787476143697,0.517381919375112
165,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-2.5,0.94,-0.09,0.17,-45.38,19.54,-4.64,4.96,-230.37,162.6,-0.16,0.3,3.0,2.356194490192345,3.50469652022881,9,3,8,3,0.610760688522570,0.543946178323307
166,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-3.81,1.6,-0.13,0.85,-21.95,41.25,-3.04,8.58,-182.88,165.97,-0.25,1.47,2.356194490192345,2.356194490192345,1.43051127006111,8,3,8,3,0.611741308042595,0.555176645318403
167,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-6.03,2.75,-1.54,2.38,-19.66,30.85,-12.03,21.63,-207.82,112.09,-0.97,4.25,2.53125,1.7671458676442586,0.194211024634654,10,2,6,4,0.648853816161187,0.493629386006082
168,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-6.92,2.81,-2.01,1.56,-34.03,16.84,-21.13,11.06,-219.92,135.22,-1.12,3.8,2.53125,2.0,4.67361528322020,10,2,9,2,0.686647145646927,0.529227505697879
169,13.0,16 x 32,16.0,32.0,0.0,RC Beam,-5.47,2.45,-0.73,0.48,-34.53,23.36,-7.66,2.8,-123.81,147.7,-0.22,1.33,1.7671458676442586,2.0,2.26044135744773,6,4,9,2,0.545283155731917,0.578049998168973
170,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-5.86,0.39,-0.67,0.73,-36.65,18.7,-21.6,12.71,-209.4,167.09,-0.97,0.83,2.53125,2.356194490192345,4.33951236256435,10,2,8,3,0.653825137698151,0.558935744019090
171,13.0,16 x 32,16.0,32.0,0.0,RC Beam,-2.66,0.73,-0.65,0.75,-32.46,18.89,-9.15,16.08,-172.08,129.95,-0.51,0.91,2.356194490192345,1.7671458676442586,4.27429381206877,8,3,6,4,0.575566289717937,0.572294980553672
172,35.0,16 x 32,16.0,32.0,0.0,RC Beam,-3.89,1.68,-0.36,0.27,-29.49,29.19,-32.43,26.8,-192.19,51.48,-0.78,0.33,2.356194490192345,1.2026409377023426,0.560685512503566,8,3,7,2,0.642772152989211,0.325744660424609
173,32.0,16 x 32,16.0,32.0,0.0,RC Beam,-4.9,0.61,-0.27,0.15,-41.73,36.07,-11.8,10.32,-249.61,49.07,-0.25,0.5,3.0,1.2026409377023426,0.738386190463568,9,3,7,2,0.662173382813885,0.310308379216208
174,32.0,16 x 32,16.0,32.0,0.0,RC Beam,-7.02,1.88,-0.3,0.04,-42.37,41.36,-15.03,9.44,-239.33,46.54,-0.61,0.36,3.0,1.2026409377023426,1.44332905923648,9,3,7,2,0.634902270377177,0.294309190314292
175,32.0,16 x 32,16.0,32.0,0.0,RC Beam,-7.6,0.87,-0.07,0.29,-40.67,39.13,-10.06,15.08,-226.88,40.71,-0.19,0.66,3.0,1.2026409377023426,1.16939917940253,9,3,7,2,0.601874512610930,0.257441494149008
176,35.0,16 x 32,16.0,32.0,0.0,RC Beam,-3.14,1.87,-0.14,0.2,-40.54,37.8,-7.84,10.37,-234.9,40.41,-0.37,0.36,3.0,1.2026409377023426,0.990637298677802,9,3,7,2,0.623150224842681,0.255544357125065
177,35.0,16 x 32,16.0,32.0,0.0,RC Beam,-5.44,1.73,-0.63,0.96,-27.53,28.88,-25.18,30.14,-185.47,36.94,-0.69,1.51,2.356194490192345,1.2026409377023426,0.633791901315066,8,3,7,2,0.620297368306931,0.233741409403361
178,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-2.95,5.17,-0.47,0.12,-22.71,22.92,-30.14,12.47,-110.51,87.58,-1.04,0.42,1.7671458676442586,1.5707963267948966,2.42381806762562,6,4,8,2,0.486747158741716,0.431394962694038
179,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-2.66,6.46,-0.48,0.09,-23.81,23.21,-29.27,19.27,-108.63,82.54,-1.1,0.48,1.7671458676442586,1.5707963267948966,2.31544205557859,6,4,8,2,0.478466598987536,0.406569310581936
180,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-5.55,7.0,-0.43,0.12,-25.25,22.99,-19.39,28.24,-123.02,82.06,-1.09,0.32,1.7671458676442586,1.5707963267948966,2.39740800826355,6,4,8,2,0.541848117531498,0.404204962761735
181,13.0,16 x 32,16.0,32.0,0.0,RC Beam,-3.81,6.84,-0.72,0.33,-23.2,20.85,-10.19,23.33,-101.64,77.73,-1.64,0.64,1.5707963267948966,1.5707963267948966,3.28495971750499,8,2,8,2,0.500709256790263,0.382921394434348
182,14.0,16 x 32,16.0,32.0,0.0,RC Beam,-1.15,10.53,-0.84,1.35,-26.89,12.48,-6.99,26.51,-105.87,104.74,-2.74,0.78,1.5707963267948966,1.5707963267948966,5.91458267340957,8,2,8,2,0.521547510983719,0.515980790596341
183,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-10.59,9.59,-1.39,0.34,-42.34,20.08,-2.72,45.4,-148.63,133.7,-1.47,2.41,2.0,1.803961406553514,3.65059313296709,9,2,7,3,0.581691021143769,0.577394973993486
184,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-15.54,13.45,-3.43,1.31,-28.05,18.28,-1.41,68.47,-173.39,57.14,-1.0,5.9,2.356194490192345,1.2026409377023426,4.62548742395947,8,3,7,2,0.579896267270927,0.361558855801518
185,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-19.09,17.15,-2.64,2.56,-14.35,32.75,-62.66,2.13,-183.3,67.01,-2.78,6.12,2.356194490192345,1.325359400733194,0.179651599695294,8,3,6,3,0.613051816127410,0.387222714400556
186,13.0,16 x 32,16.0,32.0,0.0,RC Beam,-11.37,16.07,-0.55,0.94,-23.36,30.35,-30.8,1.51,-67.52,75.49,-0.54,1.8,1.325359400733194,1.325359400733194,0.300375950905408,6,3,6,3,0.390663097204771,0.436776617416886
187,14.0,16 x 32,16.0,32.0,0.0,RC Beam,-1.39,9.83,-0.21,0.37,-34.54,19.67,-24.94,1.1,-106.11,74.45,-0.63,0.37,1.5707963267948966,1.325359400733194,3.85696035129533,8,2,6,3,0.522821628058734,0.430585976898997
188,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-2.97,10.93,-2.0,0.65,-27.62,14.93,-25.47,13.38,-101.76,121.19,-0.7,2.82,1.5707963267948966,1.7671458676442586,5.75825952527094,8,2,6,4,0.501241737882454,0.533787785430355
189,13.0,16 x 32,16.0,32.0,0.0,RC Beam,-1.91,5.79,-2.16,1.55,-19.24,13.06,-1.35,27.28,-67.36,53.02,-3.59,0.81,1.325359400733194,1.2026409377023426,8.26627484864778,6,3,7,2,0.389830618341091,0.336077633221041
190,35.0,16 x 32,16.0,32.0,0.0,RC Beam,-2.48,5.74,-0.26,0.62,-36.57,39.02,-39.31,29.79,-249.8,33.35,-0.33,1.4,3.0,0.9817477042468103,1.15507662455205,9,3,4,5,0.662842841561188,0.254319472065298
