ID,Length (ft),B,H,MIN FX,MAX FX,MIN FY,MAX FY,MIN FZ,MAX FZ,MIN MX,MAX MX,MIN MY,MAX MY,MIN MZ,MAX MZ,AREA TOP,AREA BOTTOM,STIRRUP SPACING,BAR TYPE TOP,BAR COUNT TOP,BAR TYPE BOTTOM,BAR COUNT BOTTOM,EFFICIENCY MIN MY,EFFICIENCY MAX MY
31,67.0,16.0,32.0,-4.29,5.26,-1.1,0.87,-59.03,84.49,-31.54,14.95,-374.58,246.13,-1.36,1.92,3.796875,3.0,1.88238996435061,10,3,9,3,0.790948860464998,0.652439116586334
32,87.0,16.0,32.0,-5.36,10.28,-0.83,1.34,-26.36,28.08,-34.06,28.26,-153.03,99.63,-2.71,2.13,2.0,1.5707963267948966,0.829911328702959,9,2,8,2,0.598902192118439,0.490691952278094
33,67.0,16.0,32.0,-2.79,17.87,-1.79,1.66,-38.28,38.49,-36.26,35.37,-267.45,175.04,-3.21,1.84,3.0,2.356194490192345,1.08492049597352,9,3,8,3,0.709067787235149,0.585561740797734
34,27.0,16.0,32.0,-0.5,5.56,-2.17,2.13,-18.77,18.14,-22.15,27.33,-65.55,61.66,-3.74,2.37,1.325359400733194,1.227184630308513,4.70942172601869,6,3,5,4,0.379336597237633,0.383514123042286
35,67.0,16.0,32.0,-8.87,20.62,-1.15,2.25,-67.59,175.78,-32.78,37.97,-573.47,455.24,-4.81,2.58,0.0,4.6875,0.904785118261368,11,0,11,3,49.7313525330775,0.801848890507801
36,30.0,16.0,32.0,-4.21,10.78,-2.0,0.53,-27.25,27.41,-25.39,31.71,-128.77,117.39,-2.02,2.8,1.7671458676442586,1.7671458676442586,1.00297008792335,6,4,6,4,0.567151355732810,0.517029569383200
37,67.0,16.0,32.0,-5.37,14.39,-1.41,1.49,-68.56,176.28,-49.24,37.27,-585.53,442.86,-3.09,2.81,0.0,4.6875,0.902218788790466,11,0,11,3,50.7771964508917,0.780043053444962
38,87.0,16.0,32.0,-18.8,15.74,-3.44,2.55,-42.19,45.38,-62.3,68.1,-189.95,139.0,-3.78,6.15,2.356194490192345,2.0,1.86912934971399,8,3,9,2,0.635359264944775,0.544017737929464
39,67.0,16.0,32.0,0.19,13.31,-1.18,1.78,-148.22,65.52,-20.83,36.13,-559.41,307.11,-1.88,3.44,0.0,3.796875,1.07302069955460,11,0,10,3,49.3513386520222,0.655854269662119
40,32.0,16.0,32.0,-0.84,23.38,-0.89,1.83,-73.74,163.3,-24.63,20.7,-370.06,635.62,-3.1,2.37,3.796875,0.0,0.973932198946621,10,3,11,0,0.790288271404917,56.0746105253720
41,30.0,16.0,32.0,-3.72,0.33,-0.63,0.79,-35.45,28.43,-22.08,23.45,-201.85,156.83,-0.64,0.96,2.405281875404685,2.0,0.742750971156493,7,4,9,2,0.661922810268155,0.613802048417400
42,67.0,16.0,32.0,-7.02,4.89,-0.28,0.59,-42.48,41.21,-26.4,32.63,-233.52,157.48,-1.18,0.68,3.0,2.0,1.42583329022133,9,3,9,2,0.619179076899760,0.616359735975080
43,67.0,16.0,32.0,-7.03,0.67,-0.7,0.88,-27.71,28.64,-29.72,29.44,-178.59,122.45,-0.48,1.39,2.356194490192345,1.7671458676442586,0.691477308309326,8,3,6,4,0.597340676898689,0.539265258705634
44,27.0,16.0,32.0,-1.71,0.27,-0.79,0.67,-30.63,26.94,-20.7,16.34,-160.63,118.11,-0.61,1.06,2.356194490192345,1.7671458676442586,1.12950668559685,8,3,6,4,0.537268788455324,0.520152059662902
